排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,产学研合作（校企合作论文·篇）,成果转化（技术转让收入·千元）,
104,深圳大学,广东省,38.8,54.3,88.45%,3309,1.044,71,3,49744,36,612,
104,首都师范大学,北京市,38.8,57.2,98.43%,2729,0.827,22,2,11398,20,0,
107,上海理工大学,上海市,38.7,59.1,97.22%,3832,0.584,38,——,258730,48,645,
108,太原理工大学,山西省,38.6,65.0,84.24%,3907,0.643,29,1,114815,72,2525,
108,浙江工商大学,浙江省,38.6,60.6,97.65%,1911,0.71,20,——,24095,18,210,
110,华侨大学,福建省,38.5,59.2,94.18%,2106,0.812,29,1,14834,6,0,
110,湖南师范大学,湖南省,38.5,60.8,87.84%,2499,0.877,30,——,28629,6,300,
112,广西大学,广西壮族自治区,38.3,61.1,91.02%,4037,0.666,29,1,45340,43,360,
112,上海师范大学,上海市,38.3,49.8,94.70%,2417,1.11,55,3,10005,16,1470,
114,上海中医药大学,上海市,38,57.5,95.27%,2297,0.804,11,1,14050,12,0,
114,东北林业大学,黑龙江省,38,61.9,90.29%,3366,0.648,20,——,23771,13,24306,
114,武汉科技大学,湖北省,38,60.7,94.19%,2006,0.609,12,——,131109,94,5925,
114,东北农业大学,黑龙江省,38,60.2,94.71%,2209,0.73,9,——,6882,9,2230,
118,华南农业大学,广东省,37.9,52.2,94.56%,4188,0.863,34,2,87647,18,25270,
118,辽宁大学,辽宁省,37.9,62.5,91.87%,1401,0.706,9,——,6331,13,9,
120,青岛大学,山东省,37.8,52.7,92.21%,3756,0.889,80,3,16496,21,0,
120,长沙理工大学,湖南省,37.8,59.9,93.48%,2315,0.635,19,1,126072,23,675,
120,福建医科大学,福建省,37.8,59.3,97.40%,2723,0.631,10,2,1419,18,0,
123,河北科技大学,河北省,37.7,62.1,92.08%,1272,0.642,12,1,53648,10,2563,
124,河北农业大学,河北省,37.6,60.4,92.39%,1314,0.695,17,——,30593,8,19788,
124,西安建筑科技大学,陕西省,37.6,61.4,96.74%,2750,0.455,14,1,126324,61,295,
124,重庆医科大学,重庆市,37.6,55.6,93.00%,5755,0.729,30,2,3179,20,0,
127,广州医科大学,广东省,37.5,54.5,94.95%,1382,0.908,12,1,6763,9,0,
127,河北师范大学,河北省,37.5,61.3,85.92%,2307,0.742,22,1,23047,15,2600,
129,广东工业大学,广东省,37.4,52.3,96.77%,2756,0.795,43,1,93256,40,720,
129,上海海事大学,上海市,37.4,52.6,96.77%,1183,0.858,22,1,133841,14,60,
131,南昌大学,江西省,37.3,54.4,85.84%,5353,0.773,44,3,146036,51,5420,
132,渤海大学,辽宁省,37.2,40.8,95.04%,1132,1.413,39,3,1100,1,0,
133,青岛科技大学,山东省,37,48.8,95.02%,2655,0.954,45,1,52722,30,300,
134,西安理工大学,陕西省,36.8,59.1,93.80%,3729,0.484,12,——,125603,51,930,
135,东北石油大学,黑龙江省,36.7,60.0,87.02%,1428,0.538,18,——,174842,210,2800,
135,安徽医科大学,安徽省,36.7,52.8,93.90%,3537,0.793,24,1,8827,18,0,
135,黑龙江中医药大学,黑龙江省,36.7,49.2,90.23%,515,1.165,16,——,1934,1,0,
138,沈阳航空航天大学,辽宁省,36.6,51.3,95.29%,868,0.88,17,2,62364,18,210,
139,山东财经大学,山东省,36.5,56.7,85.44%,516,0.905,16,1,650,0,0,
140,江苏师范大学,江苏省,36.4,46.5,98.35%,1754,0.97,33,1,16390,9,0,
140,三峡大学,湖北省,36.4,53.6,92.76%,1665,0.769,22,——,96154,18,350,
142,黑龙江大学,黑龙江省,36.3,50.2,87.07%,1947,1.005,41,3,6831,8,0,
142,天津师范大学,天津市,36.3,52.0,89.20%,1242,0.948,23,2,9755,3,60,
144,长春理工大学,吉林省,36,57.4,91.39%,2021,0.606,20,——,48697,14,443,
144,北京工商大学,北京市,36,54.6,97.31%,914,0.661,5,——,22959,7,3010,
146,武汉工程大学,湖北省,35.9,53.5,93.58%,1248,0.73,11,——,80895,22,228,
146,天津工业大学,天津市,35.9,51.0,89.88%,2987,0.735,38,3,150074,35,260,
146,中国计量学院,浙江省,35.9,50.3,97.93%,2323,0.728,26,——,49592,20,0,
149,福建师范大学,福建省,35.8,48.4,97.24%,2614,0.779,35,1,19163,25,13284,
149,安徽师范大学,安徽省,35.8,43.2,94.17%,1781,1.128,40,——,20447,0,220,
149,温州大学,浙江省,35.8,46.2,94.38%,1963,0.998,32,——,11716,9,651,
149,山西师范大学,山西省,35.8,55.8,88.19%,763,0.779,12,1,4822,0,0,
153,西南石油大学,四川省,35.7,47.9,93.50%,2402,0.513,13,1,347591,498,875,
154,济南大学,山东省,35.6,44.0,91.58%,3203,0.993,65,2,46285,16,5420,
154,山东师范大学,山东省,35.6,51.8,92.11%,1907,0.757,21,2,10250,7,3660,
156,江苏科技大学,江苏省,35.5,51.5,98.26%,1702,0.581,9,1,132942,45,158,
156,郑州大学,河南省,35.5,40.1,95.11%,9864,0.729,107,2,76207,87,8050,
156,浙江中医药大学,浙江省,35.5,51.0,97.39%,951,0.762,6,——,3950,5,0,
159,广州大学,广东省,35.4,47.8,97.04%,2500,0.69,22,1,197873,14,160,
160,河南大学,河南省,35.3,48.2,91.62%,4007,0.773,38,1,14667,18,20285,
161,重庆邮电大学,重庆市,35.2,51.4,96.13%,1643,0.639,19,1,22636,24,14850,
161,辽宁工业大学,辽宁省,35.2,39.9,89.92%,593,1.314,26,1,18293,9,0,
163,安徽工业大学,安徽省,35.1,44.1,95.55%,2125,0.908,47,——,39706,38,6,
163,中国民航大学,天津市,35.1,57.1,94.19%,1018,0.49,4,——,47203,3,600,
163,辽宁师范大学,辽宁省,35.1,52.8,95.40%,1586,0.652,4,——,1585,4,0,
166,中南民族大学,湖北省,35,46.3,88.96%,1351,0.996,23,2,9560,4,4000,
167,上海海洋大学,上海市,34.9,44.5,96.97%,1571,0.891,26,——,37194,6,68,
167,四川农业大学,四川省,34.9,46.4,98.19%,2758,0.736,19,——,51372,9,3200,
169,沈阳建筑大学,辽宁省,34.7,58.3,95.43%,1272,0.336,5,——,41309,6,288,
169,广西师范大学,广西壮族自治区,34.7,48.2,90.23%,1568,0.868,18,1,4754,3,150,
169,河南理工大学,河南省,34.7,49.3,92.16%,2645,0.695,17,——,94577,28,5630,
169,西北师范大学,甘肃省,34.7,47.8,89.51%,2195,0.861,25,1,17334,2,0,
169,集美大学,福建省,34.7,50.5,94.35%,919,0.694,10,——,57616,4,165,
174,天津科技大学,天津市,34.6,48.5,94.98%,2012,0.682,11,1,82350,27,220,
175,南京中医药大学,江苏省,34.5,50.1,94.76%,2162,0.609,5,1,27158,7,20951,
175,湖南农业大学,湖南省,34.5,48.9,86.32%,1418,0.856,17,——,96005,5,6000,
175,成都理工大学,四川省,34.5,47.2,92.76%,2910,0.559,23,——,150998,310,6618,
175,北方工业大学,北京市,34.5,51.3,96.68%,685,0.582,9,——,76769,11,480,
175,海南大学,海南省,34.5,51.7,91.11%,1122,0.704,12,——,4935,2,0,
180,南通大学,江苏省,34.4,46.1,92.90%,3228,0.777,18,1,35080,13,210,
180,贵州大学,贵州省,34.4,50.7,86.22%,2270,0.698,30,2,74385,30,1100,
180,浙江农林大学,浙江省,34.4,45.7,96.69%,1202,0.773,17,1,67732,3,830,
180,云南师范大学,云南省,34.4,42.9,96.60%,1049,0.939,27,——,1219,3,0,
184,常州大学,江苏省,34.3,46.8,92.12%,2398,0.744,28,——,92201,20,0,
184,北京建筑大学,北京市,34.3,50.4,98.37%,575,0.526,1,——,151949,9,0,
184,西安邮电大学,陕西省,34.3,53.8,90.69%,778,0.586,12,——,39870,9,100,
184,宁夏大学,宁夏自治区,34.3,50.1,93.44%,885,0.706,6,——,15672,4,0,
184,福建中医药大学,福建省,34.3,45.9,95.11%,642,0.87,3,——,4809,2,0,
189,中北大学,山西省,34.2,56.0,89.20%,2780,0.397,6,——,119167,35,0,
189,兰州交通大学,甘肃省,34.2,50.9,97.17%,1664,0.524,10,——,48170,14,0,
191,内蒙古大学,内蒙古自治区,34.1,50.5,85.10%,1384,0.812,17,——,3517,5,0,
